NIM;TUGAS1;TUGAS2;QUIZ1;QUIZ2;UTS;UAS;Nilai Akhir;
1101110061;50;75;50;78;79;40;61;
1101110062;66;80;60;50;65;26;51;
1101110063;60;75;77;79;80;51;68;
1101110064;52;85;50;80;80;30;58;
1101110065;70;85;72;80;80;88;82;
1101110066;75;80;50;95;77;67;73;
1101110067;72;80;70;90;85;86;83;
1101110068;95;60;66;95;72;85;79;
1101110069;76;95;90;100;95;79;88;
1101110070;45;80;90;100;100;66;81;
1101110071;92;75;60;92;86;79;82;
1101110072;59;85;60;80;80;42;64;
1101110073;55;80;70;90;85;61;73;
1101110074;60;85;67;82;81;64;72;
1101110075;98;95;80;100;100;100;98;
1101110076;50;68;70;70;85;70;73;
1101110077;100;100;90;90;95;96;96;
1101110078;60;90;60;80;80;32;60;
1101110079;66;100;90;78;95;100;93;
1101110080;50;80;60;80;80;91;80;
1101110081;73;95;90;90;95;88;91;
1101110082;100;95;90;98;66;100;87;
1101110083;80;95;90;90;95;100;95;
1101110084;50;51;50;51;51;51;52;
1101110085;62;95;90;90;95;58;79;
1101110086;80;77;75;90;95;92;89;
1101110087;60;95;70;70;85;64;74;
1101110088;64;80;80;80;90;54;73;
1101110089;85;85;90;95;90;100;93;
1101110090;50;90;66;60;70;15;48;
1101110091;60;80;80;80;80;72;75;
1101110092;67;95;70;90;85;92;86;
1101110093;60;84;60;84;82;71;76;
1101110094;52;70;50;78;79;25;56;
1101110095;53;100;90;90;95;74;84;
1101110096;50;85;60;80;80;42;63;
1101110097;71;85;63;91;98;73;84;
1101110098;50;66;70;90;85;37;64;
1101110099;88;90;80;88;94;56;79;
1101110100;85;85;90;95;77;100;89;
1101110101;50;90;67;60;70;15;49;
Nilai Tertinggi;100;100;90;100;100;100;98
Nilai terendah;45;51;50;50;51;15;48
Mean;66.854;83.927;72.024;83.634;83.829;66.634;75.634
Median;62;85;70;88;85;70;79
Modus;50;80;90;90;80;100;73
Variasi;255;119;188;150;111;661;189
Standar Deviasi;16;11;14;12;11;26;14
Pencilan Atas;31.5;31.5;31.5;31.5;31.5;31.5;31.5
Pencilan Bawah;31.5;31.5;31.5;31.5;31.5;31.5;31.5
